gaze_offset_avg,gaze_offset_std,gaze_away_pct,face_absent_pct,multi_face_count,head_pose_variance,answer_delay_sec,eye_movement_speed,label
0.0686,0.0688,0.5551,1.5565,0,0.0421,2.2713,0.0064,0
0.3545,0.0164,59.3876,5.6998,0,0.0519,6.7054,0.0789,1
0.0216,0.0568,3.3181,4.0649,0,0.0318,3.916,0.0164,0
0.0655,0.0309,2.2659,0.6069,0,0.0321,2.3949,0.0179,0
0.2462,0.0358,44.6259,33.4824,0,0.1368,10.3148,0.111,1
0.0816,0.0759,2.5122,3.5816,0,0.0383,6.525,0.0057,0
0.0678,0.0726,14.969,1.1404,0,0.0236,4.5622,0.03,0
0.0992,0.0993,8.2761,2.5262,0,0.1126,8.6763,0.0273,0
0.0329,0.0609,14.9569,3.251,0,0.0624,7.4018,0.0115,0
0.2476,0.0185,69.793,10.0173,0,0.0318,11.0825,0.089,1
0.1961,0.0224,63.3074,3.29,0,0.0308,11.861,0.0848,1
0.3769,0.0259,67.2154,6.849,0,0.0506,6.8356,0.1062,1
0.1535,0.085,44.5578,12.8474,3,0.0648,7.2844,0.0679,1
0.0818,0.0508,4.4446,2.933,0,0.0499,7.8497,0.026,0
0.0875,0.0986,20.3892,0.4551,0,0.1,3.5198,0.0586,0
0.0804,0.0419,11.3736,4.0018,1,0.0679,5.7089,0.015,0
0.035,0.0554,1.0979,0.6768,0,0.0455,2.7038,0.0371,0
0.0703,0.0848,13.3591,0.4685,0,0.0865,10.0758,0.0234,0
0.395,0.0266,55.1198,3.7038,1,0.0378,18.7388,0.107,1
0.0858,0.0504,8.5131,2.5611,0,0.0114,4.7489,0.0248,0
0.0673,0.0768,1.1787,2.592,0,0.011,3.1686,0.032,0
0.2715,0.0251,73.6843,11.35,0,0.0248,14.28,0.1091,1
0.0552,0.0277,4.7294,2.6258,1,0.0789,1.5492,0.0315,0
0.0702,0.0775,19.5973,1.6706,0,0.0693,10.1286,0.0378,0
0.0458,0.0755,12.0259,0.926,0,0.0465,4.8736,0.0264,0
0.2032,0.0269,47.7148,6.9677,0,0.0526,23.9376,0.0755,1
0.0313,0.0435,3.5817,3.3377,0,0.0381,6.6495,0.0277,0
0.0601,0.029,1.574,1.577,0,0.0617,6.3511,0.0059,0
0.0842,0.0462,1.6571,0.4777,0,0.0796,2.3667,0.0146,0
0.0325,0.0233,1.2244,3.1233,0,0.0463,5.7155,0.0301,0
0.1308,0.0574,10.2878,3.1675,0,0.0597,5.3491,0.0259,0
0.1527,0.0527,39.4154,7.6725,1,0.0661,11.1167,0.1207,1
0.3578,0.0233,42.7888,11.6313,0,0.0597,19.4145,0.1312,1
0.1298,0.0609,63.8873,33.5244,1,0.0803,26.3819,0.1021,1
0.0689,0.0408,11.8455,4.8424,0,0.0729,4.6045,0.017,0
0.0703,0.0212,14.5412,3.1815,1,0.0403,6.7497,0.0376,0
0.0647,0.0599,9.2677,1.1031,0,0.0504,4.3174,0.0106,0
0.0856,0.0556,13.7963,6.5605,0,0.0311,11.7621,0.0561,0
0.072,0.0275,9.8177,4.9184,0,0.0103,2.6942,0.01,0
0.1821,0.0786,56.6887,40.5854,1,0.0884,15.983,0.0613,1
0.0258,0.0211,4.6189,1.3491,0,0.012,5.6981,0.0127,0
0.2971,0.0375,47.5921,47.122,0,0.1721,17.7777,0.0606,1
0.091,0.0277,14.8675,2.141,1,0.0714,2.6448,0.025,0
0.0485,0.0209,6.2665,1.374,0,0.0411,6.1029,0.0225,0
0.1435,0.0636,59.8612,36.0996,0,0.1836,17.1109,0.071,1
0.3037,0.0124,55.5134,10.4966,0,0.029,17.1151,0.087,1
0.0885,0.065,8.6801,4.0797,0,0.0536,5.915,0.0052,0
0.2852,0.0588,49.7117,6.6215,0,0.046,9.8835,0.0956,1
0.0949,0.0572,3.0079,4.7979,0,0.042,4.1804,0.04,0
0.3329,0.0296,54.3184,3.3308,1,0.0464,17.8621,0.1044,1
0.1924,0.0163,74.222,13.0624,1,0.0406,24.3898,0.1012,1
0.1042,0.0739,14.8345,0.9636,0,0.1017,3.7311,0.0409,0
0.2019,0.0422,61.7625,4.6955,0,0.0663,11.6412,0.138,1
0.0233,0.0312,0.0958,0.5818,0,0.0595,1.6445,0.0338,0
0.3209,0.0598,67.0084,6.0692,1,0.0756,6.509,0.1694,1
0.086,0.0544,16.933,4.9091,0,0.1069,6.634,0.0216,0
0.2464,0.056,45.795,28.4186,0,0.1354,25.7268,0.0869,1
0.2612,0.0492,69.4057,9.4505,0,0.0742,13.5706,0.128,1
0.253,0.0617,41.202,32.274,0,0.1901,17.1175,0.102,1
0.0784,0.0246,9.2012,3.4757,0,0.0656,7.7918,0.0191,0
0.0695,0.0791,7.3327,2.8033,0,0.0694,6.2622,0.008,0
0.0406,0.0758,1.5376,0.6626,0,0.0522,1.7413,0.0221,0
0.3159,0.0462,50.4078,8.8118,0,0.0553,5.1125,0.09,1
0.1094,0.0494,24.0807,5.1277,0,0.0307,5.9256,0.0233,0
0.0302,0.0211,12.0088,0.2084,0,0.039,3.4765,0.0186,0
0.1357,0.0782,47.8938,8.4081,7,0.0734,12.251,0.0511,1
0.064,0.0213,14.4768,0.465,0,0.0106,6.6315,0.0337,0
0.1883,0.0172,45.4738,13.0566,0,0.0454,5.4997,0.0884,1
0.0692,0.0291,4.0349,2.2719,0,0.0137,3.9932,0.011,0
0.0219,0.069,7.0981,0.9731,0,0.0543,6.6356,0.0313,0
0.1377,0.0894,20.1063,2.7144,0,0.0922,13.8962,0.0329,0
0.0837,0.0657,17.9061,3.2117,0,0.0856,6.9291,0.0293,0
0.0958,0.0207,2.6572,2.5863,0,0.0633,5.1801,0.0377,0
0.1392,0.0543,46.988,18.1171,2,0.0599,8.9596,0.0453,1
0.1984,0.0321,39.1236,21.4247,0,0.1059,23.5706,0.0839,1
0.1177,0.0687,16.4993,4.5268,0,0.0966,7.3245,0.0439,0
0.1906,0.1016,30.6875,13.3958,11,0.1052,10.7915,0.0386,1
0.0793,0.0542,1.0867,1.6234,0,0.0248,6.7732,0.0265,0
0.1985,0.0502,50.6784,7.632,1,0.0674,14.1154,0.0942,1
0.1205,0.0803,19.8632,7.1835,0,0.1157,11.7706,0.0405,0
0.0937,0.0442,5.2607,1.0602,0,0.014,3.585,0.0258,0
0.0846,0.0311,13.3312,2.326,0,0.0457,3.4707,0.0336,0
0.039,0.0758,3.3115,4.9743,0,0.0595,5.1262,0.0374,0
0.0828,0.0481,7.1132,1.2839,0,0.0122,3.9584,0.0131,0
0.0204,0.0438,0.6314,3.6844,0,0.0241,5.9082,0.0297,0
0.0407,0.0571,13.2897,4.8146,0,0.0338,5.0864,0.0259,0
0.0973,0.0526,0.4879,1.2991,0,0.0309,3.5978,0.0133,0
0.3698,0.016,52.6399,5.1531,0,0.0545,20.0624,0.1482,1
0.047,0.0526,10.537,4.5088,0,0.0723,1.4934,0.0263,0
0.1583,0.0974,48.4359,11.0961,8,0.056,6.6745,0.0646,1
0.1581,0.041,41.1524,11.3491,0,0.073,5.349,0.0905,1
0.152,0.0504,51.5664,35.4147,0,0.187,29.5362,0.0567,1
0.0212,0.0339,11.4154,2.0808,0,0.0633,6.1654,0.0064,0
0.2841,0.037,40.1198,18.8526,0,0.1029,21.9794,0.0669,1
0.0772,0.0203,2.3932,0.6069,0,0.0101,2.6072,0.0397,0
0.2287,0.0385,68.0346,7.1232,0,0.042,21.4228,0.135,1
0.039,0.0588,13.0777,1.9849,0,0.0178,4.3813,0.0098,0
0.2395,0.0322,46.2857,8.0101,0,0.0502,6.6549,0.1511,1
0.0294,0.0355,13.0188,0.3243,0,0.0544,6.3656,0.0332,0
0.2918,0.0263,64.899,3.0486,0,0.0751,6.5121,0.1117,1
0.0797,0.0347,1.5989,4.199,0,0.0454,1.5388,0.0077,0
0.0417,0.0268,12.2224,0.492,0,0.0188,2.357,0.0161,0
0.3819,0.0208,53.1354,14.0076,0,0.0256,19.3147,0.104,1
0.0511,0.0622,13.1052,1.7671,0,0.0343,4.232,0.0181,0
0.1169,0.0518,49.1807,12.2344,7,0.1035,6.5942,0.0507,1
0.0804,0.091,19.7882,2.7638,0,0.1165,12.2721,0.0316,0
0.21,0.0391,30.5031,33.4717,0,0.1179,19.7802,0.0803,1
0.2818,0.0356,59.8902,4.0877,1,0.0264,22.1641,0.0785,1
0.1873,0.0135,47.1366,8.9854,0,0.0269,8.412,0.1152,1
0.2278,0.1108,27.7518,14.1121,9,0.0688,9.596,0.0491,1
0.3848,0.0269,45.6219,5.2829,0,0.0362,20.3575,0.109,1
0.0698,0.0618,9.5465,0.3563,0,0.0517,7.3965,0.0234,0
0.3352,0.0255,68.2971,7.7886,0,0.0551,18.9907,0.0804,1
0.0869,0.0722,6.7848,0.4109,0,0.0286,6.2385,0.0147,0
0.0551,0.0791,1.2017,3.3015,0,0.0112,7.0117,0.0347,0
0.0715,0.0472,3.1599,3.2808,0,0.0742,3.3604,0.0145,0
0.0618,0.0558,6.5337,4.2097,0,0.0725,2.8524,0.0105,0
0.0432,0.0224,12.2375,4.4004,0,0.0769,5.3741,0.0061,0
0.2067,0.0546,63.595,8.8929,0,0.0547,13.6585,0.1237,1
0.0236,0.0613,5.9426,3.6397,0,0.023,5.8926,0.0131,0
0.0636,0.0464,9.4734,2.7251,1,0.0429,5.8445,0.0115,0
0.0336,0.0284,10.2835,4.8794,0,0.045,5.6652,0.02,0
0.0278,0.0673,8.7296,2.7398,0,0.0359,5.9382,0.034,0
0.1559,0.0763,30.022,30.011,0,0.1675,9.6879,0.0866,1
0.2853,0.039,50.6033,6.1328,1,0.0358,14.2724,0.0616,1
0.0571,0.0417,9.0517,3.7569,0,0.0387,4.9014,0.0272,0
0.3442,0.0378,60.7231,13.0145,0,0.054,16.7673,0.0813,1
0.0219,0.0595,7.7223,2.5418,0,0.0153,2.7729,0.0241,0
0.1225,0.0538,20.1502,2.0185,0,0.0838,7.909,0.0343,0
0.2499,0.0941,30.1908,12.8176,4,0.0813,12.6126,0.0566,1
0.0762,0.0345,7.4272,0.7621,0,0.0574,2.3929,0.0147,0
0.0714,0.0314,13.1013,1.2612,0,0.0668,7.0937,0.0191,0
0.0509,0.0536,1.9735,4.6869,0,0.0595,3.743,0.02,0
0.1542,0.0515,62.3572,9.0165,0,0.0579,7.7111,0.1471,1
0.2492,0.0337,61.9007,6.6764,0,0.0378,6.5482,0.1063,1
0.298,0.0509,69.0688,5.0931,0,0.0468,14.4168,0.0975,1
0.2828,0.0408,36.7085,35.5844,1,0.1929,29.9854,0.0545,1
0.2793,0.0243,62.2199,8.1922,1,0.0256,24.964,0.1022,1
0.0824,0.0489,1.9513,2.7476,1,0.0487,3.7932,0.0249,0
0.0379,0.0447,11.9221,2.299,0,0.0133,6.0641,0.0339,0
0.0924,0.0356,8.7803,1.6347,0,0.0736,7.9803,0.0378,0
0.0212,0.0285,3.4268,2.9121,0,0.0312,7.236,0.0375,0
0.0204,0.0353,4.1044,3.0979,1,0.0138,6.2387,0.025,0
0.2684,0.0321,66.4682,14.9124,0,0.0296,10.3112,0.0617,1
0.0487,0.0495,3.2738,3.0355,0,0.0775,2.1412,0.0323,0
0.0237,0.0719,12.4337,2.6958,1,0.0629,6.7175,0.0317,0
0.1119,0.0843,13.029,3.7295,0,0.0323,10.8708,0.0354,0
0.2316,0.0356,68.8453,4.797,1,0.0203,5.2384,0.1335,1
0.0521,0.0961,10.0097,3.0227,0,0.0449,6.8285,0.053,0
0.1568,0.0892,21.8002,15.8658,10,0.0764,9.3326,0.0489,1
0.1284,0.0427,19.9104,6.4241,0,0.0957,11.5788,0.0513,0
0.0868,0.0292,12.2695,4.2571,0,0.0154,1.5291,0.0079,0
0.3104,0.0393,38.9569,11.6568,0,0.0688,13.4988,0.1774,1
0.0483,0.0255,10.0232,3.2848,0,0.0668,1.2729,0.027,0
0.2113,0.0319,34.0944,44.3007,0,0.1884,26.1555,0.0482,1
0.0634,0.0554,11.0637,2.1187,0,0.0442,2.9185,0.0294,0
0.0401,0.0393,5.2171,4.2102,0,0.0617,2.945,0.0131,0
0.2912,0.0462,51.2927,6.1415,0,0.0384,14.3018,0.1284,1
0.1724,0.0645,50.3462,40.4638,0,0.1209,23.353,0.1028,1
0.2843,0.0286,47.6694,12.9846,0,0.0529,18.0844,0.1069,1
0.0806,0.0471,10.788,3.0094,1,0.0379,2.1602,0.018,0
0.3282,0.0348,73.107,11.0453,0,0.0512,22.5865,0.0981,1
0.0882,0.0575,9.2498,0.6855,0,0.0647,5.0911,0.0214,0
0.2845,0.0204,46.3647,8.9313,0,0.0651,6.2669,0.1377,1
0.373,0.0203,55.4221,6.4046,0,0.0499,13.923,0.1388,1
0.0981,0.0642,13.0645,3.8733,0,0.0642,1.718,0.0377,0
0.2983,0.0246,71.32,6.4063,0,0.0201,10.6812,0.0676,1
0.3091,0.0402,53.738,9.0798,0,0.0734,5.7758,0.1698,1
0.0348,0.0663,0.319,3.1658,0,0.0633,3.0759,0.0124,0
0.1617,0.0582,38.2907,9.0075,2,0.1462,12.9409,0.0507,1
0.0786,0.0386,13.0942,0.1282,0,0.0342,7.1312,0.0399,0
0.0644,0.0876,13.5,6.1322,0,0.104,11.3921,0.0371,0
0.0603,0.024,13.0055,1.4295,0,0.0199,5.875,0.0069,0
0.2258,0.0568,57.8411,6.8843,0,0.0667,6.2885,0.0946,1
0.0608,0.0616,8.0189,1.5195,1,0.0798,5.3858,0.035,0
0.0519,0.0289,11.1406,4.7154,0,0.0481,7.719,0.0313,0
0.2276,0.0253,36.6997,10.7008,1,0.0575,3.6072,0.1495,1
0.0757,0.0663,1.8031,4.0132,0,0.0646,6.7046,0.0065,0
0.103,0.0804,13.3536,6.5098,0,0.0337,4.4603,0.0514,0
0.0959,0.0533,1.8085,1.3631,1,0.0181,6.6469,0.0247,0
0.0336,0.08,8.944,3.0517,0,0.0302,3.5966,0.0343,0
0.0602,0.0689,3.4493,3.1195,0,0.0364,6.1291,0.0137,0
0.3334,0.0567,39.9988,10.0523,0,0.0739,7.5952,0.1072,1
0.092,0.0505,5.1882,1.9933,0,0.0537,5.7608,0.0165,0
0.0293,0.0306,14.945,3.7404,0,0.0146,2.6908,0.0072,0
0.0679,0.0688,10.9834,1.7062,0,0.0208,4.7737,0.0339,0
0.0685,0.0238,7.3296,2.1976,0,0.0448,1.7133,0.0243,0
0.0778,0.0645,8.8571,4.331,1,0.1038,11.1091,0.0494,0
0.2338,0.0618,58.5255,38.9164,0,0.1599,23.0701,0.0752,1
0.0613,0.0761,10.7113,3.3069,0,0.0641,3.7491,0.0143,0
0.0262,0.0614,2.3084,2.7001,0,0.0501,2.7533,0.0399,0
0.0314,0.0284,6.8211,2.8999,0,0.0255,5.086,0.0165,0
0.0259,0.0756,10.1947,3.2099,0,0.0259,3.6636,0.0057,0
0.0449,0.058,14.171,4.9389,0,0.0653,1.0799,0.0238,0
0.0572,0.055,1.318,3.1833,0,0.0461,5.7959,0.0187,0
0.0465,0.0496,6.2637,2.9724,0,0.0709,1.1764,0.0331,0
0.2768,0.0375,46.4371,4.7509,1,0.0685,8.6746,0.1382,1
0.232,0.0506,39.3181,38.2412,0,0.1404,26.6693,0.0741,1
0.1666,0.0633,22.0791,17.7689,3,0.1018,6.731,0.0751,1
0.0801,0.0208,9.2572,1.7769,0,0.0787,7.1415,0.0074,0
0.0424,0.0439,3.2882,3.8732,0,0.0553,2.157,0.0169,0
0.0506,0.0818,9.1797,4.3548,0,0.0789,12.227,0.0223,0
0.2238,0.0215,43.9169,7.9934,0,0.0318,12.9692,0.1357,1
0.3293,0.0324,66.0315,8.2892,0,0.0686,14.536,0.1556,1
0.0325,0.0298,9.8818,1.9941,0,0.0552,3.9766,0.0137,0
0.3982,0.0165,51.254,9.5038,0,0.0359,9.0571,0.0972,1
0.05,0.0413,0.7232,2.9388,0,0.0125,6.7528,0.0191,0
0.0542,0.0303,2.7966,0.3971,0,0.03,2.2548,0.008,0
0.0758,0.0657,5.8874,3.6868,0,0.056,3.0467,0.0369,0
0.0669,0.0483,6.3258,2.3027,0,0.0372,4.7275,0.0363,0
0.242,0.1,43.458,5.6515,11,0.108,11.4126,0.0596,1
0.2902,0.0723,53.4243,43.6405,0,0.1269,9.8562,0.1135,1
0.0295,0.0339,2.4529,3.4444,0,0.0422,4.7496,0.0307,0
0.1956,0.031,60.4388,2.8304,0,0.0549,23.2133,0.1406,1
0.0757,0.0603,5.8662,4.3666,0,0.0483,6.8528,0.0281,0
0.0565,0.068,3.5632,3.8276,0,0.015,2.817,0.0127,0
0.0914,0.0684,3.984,2.7889,0,0.0718,3.0134,0.0073,0
0.2785,0.0589,63.2709,4.3271,0,0.0627,14.5093,0.153,1
0.0436,0.027,11.9481,2.6766,0,0.0551,4.7683,0.0213,0
0.1156,0.0932,23.5936,0.3326,0,0.0429,9.8615,0.021,0
0.0766,0.0635,7.3414,3.8244,0,0.0387,1.0001,0.04,0
0.0781,0.0373,14.6023,0.1291,1,0.06,2.7717,0.0119,0
0.3204,0.0315,41.6427,7.1124,0,0.0242,8.2711,0.1142,1
0.0699,0.0788,1.3412,1.9545,0,0.0473,3.6905,0.0343,0
0.1252,0.0781,37.4562,24.7339,1,0.1255,11.5996,0.1114,1
0.1249,0.0815,14.846,1.3013,0,0.0599,7.6168,0.0271,0
0.2442,0.07,48.2309,31.1914,1,0.1303,14.9204,0.0755,1
0.0342,0.0426,2.7829,2.0706,0,0.0103,7.529,0.021,0
0.0224,0.0292,5.9538,0.7508,0,0.0365,2.7497,0.0133,0
0.0754,0.0557,6.7708,0.3067,0,0.01,2.811,0.0127,0
0.2415,0.0363,51.5152,5.5619,1,0.027,17.6376,0.1012,1
0.066,0.0239,8.8853,3.6425,0,0.0282,5.2395,0.016,0
0.0267,0.0558,10.2487,2.1701,0,0.0743,5.4267,0.0216,0
0.0514,0.0677,4.1132,4.9835,0,0.0652,2.8956,0.0285,0
0.3218,0.0514,53.9265,6.624,0,0.031,11.4806,0.1774,1
0.3288,0.048,35.3966,5.8866,1,0.0649,11.7978,0.1215,1
0.1234,0.0798,60.3258,35.4199,1,0.1225,20.3629,0.1079,1
0.1158,0.0696,13.6435,4.9534,0,0.0361,3.2001,0.0355,0
0.097,0.0373,14.9912,2.8594,1,0.0127,3.6796,0.0243,0
0.0567,0.0515,9.3445,0.8871,0,0.0303,1.9999,0.0117,0
0.0379,0.054,13.0613,1.6726,0,0.0298,2.9036,0.0264,0
0.1703,0.0411,61.6109,7.3202,1,0.078,5.7965,0.1521,1
0.0481,0.058,9.5868,3.2116,0,0.026,1.4652,0.0177,0
0.0893,0.0694,12.7379,2.668,0,0.0338,1.8951,0.0074,0
0.0394,0.0277,11.2907,4.6848,0,0.0385,3.7833,0.0156,0
0.0776,0.0494,18.0888,0.1675,0,0.0402,6.0545,0.0222,0
0.0268,0.0364,14.5487,0.2928,1,0.0302,2.3648,0.0185,0
0.0564,0.0264,8.1673,2.2909,1,0.0433,6.4462,0.0197,0
0.0273,0.0737,0.6236,3.0979,0,0.064,5.6318,0.0252,0
0.2487,0.0479,37.3567,25.1627,0,0.0818,16.178,0.0443,1
0.2119,0.0397,50.354,8.4693,0,0.0454,10.4678,0.1122,1
0.0237,0.0499,14.6219,4.0588,0,0.026,3.4799,0.0082,0
0.0858,0.0908,9.643,7.524,1,0.1171,10.0571,0.0309,0
0.3172,0.0466,50.3514,9.4251,0,0.0792,9.5109,0.091,1
0.1017,0.0576,16.7458,0.9212,1,0.035,3.3712,0.0307,0
0.0905,0.0764,17.8344,4.6159,0,0.0919,11.6769,0.0549,0
0.0739,0.0896,23.3045,6.4794,0,0.1095,11.4087,0.0472,0
0.0744,0.081,22.8515,4.8145,0,0.0453,6.549,0.0222,0
0.3593,0.0344,70.9768,2.6109,0,0.0237,12.0386,0.1027,1
0.0501,0.0724,14.1692,1.641,0,0.0628,5.0516,0.0061,0
0.0925,0.0749,8.5591,3.6783,0,0.0651,2.8966,0.039,0
0.0914,0.0321,14.7597,4.0699,0,0.0724,2.7329,0.0127,0
0.0727,0.0326,6.5792,4.3068,0,0.0647,2.2019,0.0124,0
0.184,0.0116,66.9102,3.5371,0,0.0428,7.4974,0.0606,1
0.0722,0.0483,2.4544,3.9038,0,0.0458,4.0408,0.0114,0
0.0293,0.0355,14.2494,2.7335,0,0.0737,6.5034,0.0263,0
0.0241,0.0674,12.7587,3.9101,0,0.0636,7.7947,0.0333,0
0.0633,0.0546,0.7796,1.7663,0,0.0463,4.5394,0.0061,0
0.3146,0.0326,64.7316,4.2349,1,0.0232,15.4839,0.0787,1
0.2664,0.0728,56.794,45.7058,0,0.1479,23.4474,0.1158,1
0.126,0.0497,8.4735,4.9368,0,0.0313,7.4654,0.0333,0
0.0339,0.0307,13.0241,2.197,0,0.065,2.6394,0.0215,0
0.0921,0.0497,5.4969,0.403,0,0.0514,1.6187,0.0245,0
0.187,0.0274,69.9981,10.1753,1,0.0273,10.0852,0.0746,1
0.047,0.0519,3.3027,3.9772,0,0.0247,7.6111,0.0391,0
0.1979,0.0169,45.4548,5.1493,0,0.0487,15.0208,0.1446,1
0.0263,0.0703,13.4222,3.8219,0,0.0639,5.7386,0.0382,0
0.2388,0.0367,74.0885,5.792,0,0.0526,19.549,0.1382,1
0.2474,0.0234,67.2269,9.1152,0,0.0483,18.3387,0.1278,1
0.05,0.0619,2.777,2.5954,0,0.02,5.5826,0.0164,0
0.0527,0.0555,7.896,1.4772,0,0.0305,5.2738,0.0387,0
0.331,0.0174,50.2992,13.9408,0,0.0373,23.7532,0.1162,1
0.1182,0.092,13.8264,5.4053,0,0.0706,7.9488,0.0347,0
0.2195,0.0735,21.7128,5.2647,10,0.1288,9.2737,0.0445,1
0.0523,0.0895,19.4981,5.8418,1,0.0475,14.264,0.0448,0
0.0643,0.0231,11.4343,2.1483,0,0.0726,2.531,0.0188,0
0.0456,0.0453,9.9571,3.7287,0,0.0536,1.5187,0.0086,0
0.061,0.0248,9.4772,4.3403,0,0.0307,2.8718,0.0304,0
0.0542,0.0421,8.2629,3.45,0,0.0581,1.4785,0.0075,0
0.0473,0.0601,5.055,2.7754,0,0.0238,6.6248,0.0212,0
0.0833,0.0721,4.7423,3.4781,0,0.0214,1.0585,0.0265,0
0.0515,0.0656,19.0464,7.4778,0,0.1143,6.8077,0.0359,0
0.1835,0.0223,68.6661,8.9388,0,0.0564,11.6807,0.1173,1
0.0296,0.0283,14.141,3.4622,0,0.0204,6.7199,0.0372,0
0.1834,0.0242,65.5256,9.9362,0,0.0605,10.5702,0.1642,1
0.0291,0.0355,5.1281,4.8781,0,0.0258,5.1837,0.0361,0
0.0609,0.0678,7.2076,3.9345,0,0.0556,1.7378,0.0106,0
0.2337,0.1073,33.6924,16.9773,10,0.0624,17.0231,0.0725,1
0.099,0.0409,4.3086,2.2588,0,0.0536,3.3493,0.0273,0
0.023,0.0552,1.9907,3.6872,0,0.0336,4.605,0.0287,0
0.0378,0.0737,7.4381,1.7379,0,0.0663,1.3961,0.0109,0
0.0241,0.0624,0.4738,4.7825,0,0.0425,3.2872,0.0132,0
0.0246,0.0455,14.7995,3.971,0,0.0108,1.0372,0.0338,0
0.0643,0.0408,2.7318,0.2098,0,0.0117,6.1268,0.0141,0
0.0428,0.0272,4.0054,0.4456,0,0.02,7.8626,0.0174,0
0.0596,0.068,2.2251,1.7775,0,0.0449,4.3879,0.0176,0
0.1138,0.0762,17.0418,3.8193,0,0.0741,10.3398,0.0331,0
